""|"Objet technique."|"Distinguer en le justifiant objet et objet technique."|"1"|"1"|"1"
""|"Besoin."|"Mettre en relation besoin et objet technique."|"1"|"1"|"1"
""|"Fonction."|"Distinguer fonction d&apos;usage et fonction d&apos;estime."|"1"|"1"|"1"
""|"Fonction."|"&eacute;noncer la fonction d&apos;usage d&apos;un objet technique."|"1"|"1"|"1"
""|"Fonction."|"&eacute;noncer les crit&egrave;res li&eacute;s aux fonctions d&apos;estime pour un objet technique."|"1"|"1"|"1"
""|"Valeur."|"Identifier les composantes de la valeur d&apos;un objet technique : prix, fiabilit&eacute;, disponibilit&eacute;, d&eacute;lai."|"1"|"1"|"1"
""|"Principe g&eacute;n&eacute;ral de fonctionnement."|"D&eacute;crire le principe g&eacute;n&eacute;ral de fonctionnement d&apos;un objet technique."|"2"|"1"|"1"
""|"Principe g&eacute;n&eacute;ral de fonctionnement."|"Identifier les principaux &eacute;l&eacute;ments qui constituent l&apos;objet technique."|"1"|"1"|"1"
""|"Fonction technique, solution technique."|"Dresser la liste des fonctions techniques qui participent &agrave; la fonction d&apos;usage."|"1"|"1"|"1"
""|"Fonction technique, solution technique."|"Identifier des solutions techniques qui assurent une fonction technique."|"2"|"1"|"1"
""|"Mode de repr&eacute;sentation : croquis, vues 2D, perspective, mod&egrave;le num&eacute;rique 3D."|"Identifier, &agrave; partir d&apos;une repr&eacute;sentation, les &eacute;l&eacute;ments qui assurent une fonction technique."|"2"|"1"|"1"
""|"Mode de repr&eacute;sentation : croquis, vues 2D, perspective, mod&egrave;le num&eacute;rique 3D."|"D&eacute;crire graphiquement &agrave; l&apos;aide de croquis &agrave; main lev&eacute;e ou de sch&eacute;mas le fonctionnement observ&eacute; des &eacute;l&eacute;ments constituant une fonction technique."|"2"|"1"|"1"
""|"Informations et caract&eacute;ristiques techniques."|"Distinguer, dans une notice, les informations qui rel&egrave;vent de la mise en service d&apos;un produit, de son utilisation, de son entretien, ainsi que les r&egrave;gles de s&eacute;curit&eacute; &agrave; observer."|"1"|"1"|"1"
""|"Informations et caract&eacute;ristiques techniques."|"Extraire d&apos;une fiche produit les caract&eacute;ristiques techniques. "|"2"|"1"|"1"
""|"Mat&eacute;riaux usuels : m&eacute;talliques, organiques, c&eacute;ramiques."|"Indiquer &agrave; quelle famille appartient un mat&eacute;riau."|"1"|"2"|"1"
""|"Caract&eacute;ristiques physiques des mat&eacute;riaux."|"Mettre en &eacute;vidence &agrave; l&apos;aide d&apos;un protocole exp&eacute;rimental quelques propri&eacute;t&eacute;s de mat&eacute;riaux."|"1"|"2"|"1"
""|"Caract&eacute;ristiques physiques des mat&eacute;riaux."|"Classer les mat&eacute;riaux par rapport &agrave; l&apos;une de leurs caract&eacute;ristiques."|"1"|"2"|"1"
""|"Relations entre formes, mat&eacute;riaux et proc&eacute;d&eacute;s de r&eacute;alisation"|"Identifier les relations formes - mat&eacute;riaux - proc&eacute;d&eacute;s de r&eacute;alisation."|"1"|"2"|"1"
""|"Caract&eacute;ristiques &eacute;conomiques des mat&eacute;riaux"|"Mettre en relation le choix d&apos;un mat&eacute;riau pour un usage donn&eacute;, son co&ucirc;t et sa capacit&eacute; de valorisation."|"1"|"2"|"1"
""|"Contraintes environnementales."|"Identifier l&apos;impact de l&apos;emploi de certains mat&eacute;riaux sur l&apos;environnement dans les diff&eacute;rentes &eacute;tapes de la vie de l&apos;objet."|"1"|"2"|"1"
""|"Nature de l&apos;&eacute;nergie de fonctionnement : m&eacute;canique, &eacute;lectrique, thermique, musculaire, hydraulique."|"Indiquer la nature des &eacute;nergies utilis&eacute;es pour le fonctionnement de l&apos;objet technique."|"1|"3"|"1"
""|"El&eacute;ments de stockage (pile chimique, accumulateur, r&eacute;serve naturelle...) de distribution (m&eacute;canismes, fils conducteurs &eacute;lectriques, tuyaux, canalisations) et de transformation (moteur, v&eacute;rin) de l&apos;&eacute;nergie."|"Identifier les &eacute;l&eacute;ments de stockage, de distribution, et de transformation de l&apos;&eacute;nergie."|"1"|"3"|"1"
""|"El&eacute;ments de stockage (pile chimique, accumulateur, r&eacute;serve naturelle...) de distribution (m&eacute;canismes, fils conducteurs &eacute;lectriques, tuyaux, canalisations) et de transformation (moteur, v&eacute;rin) de l&apos;&eacute;nergie."|"Repr&eacute;senter la circulation de l&apos;&eacute;nergie dans un objet technique par un croquis."|"2"|"3"|"1"
""|"Impact sur l&apos;environnement : d&eacute;gradation de l&apos;air, de l&apos;eau et du sol."|"Indiquer le caract&egrave;re plus ou moins polluant de la source d&apos;&eacute;nergie utilis&eacute;e pour le fonctionnement de l&apos;objet technique."|"1"|"3"|"1"
""|"Familles d&apos;objets."|"Citer des objets r&eacute;pondant &agrave; une m&ecirc;me fonction d&apos;usage."|"1"|"4"|"1"
""|"Avanc&eacute;es technologiques."|"Identifier quelques &eacute;volutions techniques et esth&eacute;tiques."|"1"|"4"|"1"
""|"Avanc&eacute;es technologiques."|"Situer dans le temps ces &eacute;volutions."|"1"|"4"|"1"
""|"Serveurs. Postes de travail. Terminaux mobiles. P&eacute;riph&eacute;riques. Logiciels."|"Identifier les principaux composants mat&eacute;riels et logiciels d&apos;un environnement informatique."|"1"|"5"|"1"
""|"Acquisition et restitution des donn&eacute;es."|"Entrer des informations : clavier, lecture magn&eacute;tique, scanneur, appareil photo."|"3"|"5"|"1"
""|"Acquisition et restitution des donn&eacute;es."|"Restituer des informations : affichage (&eacute;crans...), impression (encre, 3D, braille...), son, pilotage de machines... "|"3"|"5"|"1"
""|"Stockage des donn&eacute;es, arborescence. M&eacute;moire. Unit&eacute; de stockage."|"Recenser des donn&eacute;es, les classer, les identifier, les stocker, les retrouver dans une arborescence."|"3"|"5"|"1"
""|"Stockage des donn&eacute;es, arborescence. M&eacute;moire. Unit&eacute; de stockage."|"Distinguer le r&ocirc;le des diff&eacute;rents types de m&eacute;moire."|"3"|"5"|"1"
""|"Consultation de documents num&eacute;riques."|"ouvrir et consulter des documents existants (textes, sch&eacute;mas, animations, repr&eacute;sentations volumiques...), extraire les informations utiles."|"3"|"5"|"1"
""|"Cr&eacute;ation et transmission de documents num&eacute;riques."|"Composer, pr&eacute;senter un document num&eacute;rique (message, texte mis en page, tableaux, sch&eacute;ma, composition graphique) et le communiquer &agrave; un destinataire par des moyens &eacute;lectroniques. "|"3"|"5"|"1"
""|"Cr&eacute;ation et transmission de documents num&eacute;riques."|"Pr&eacute;senter dans un document num&eacute;rique les &eacute;tapes d&apos;une d&eacute;marche ou d&apos;un raisonnement."|"3"|"5"|"1"
""|"Recherche d&apos;informations sur la toile."|"Retrouver une ou plusieurs informations &agrave; partir d&apos;adresses URL donn&eacute;es."|"2"|"5"|"1"
""|"Modes de repr&eacute;sentation (images, projections, cotes, symboles)."|"Extraire d&apos;un dessin, d&apos;un plan, d&apos;un sch&eacute;ma, d&apos;un &eacute;clat&eacute; ou d&apos;une nomenclature les informations utiles pour la fabrication ou l&apos;assemblage."|"2"|"6"|"1"
""|"Formes permises par les proc&eacute;d&eacute;s de fabrication (usinage, d&eacute;coupage, formage)./ Mise en position et maintien d&apos;une pi&egrave;ce"|"Associer un proc&eacute;d&eacute; de fabrication &agrave; une forme."|"2"|"6"|"1"
""|"Formes permises par les proc&eacute;d&eacute;s de fabrication (usinage, d&eacute;coupage, formage)./ Mise en position et maintien d&apos;une pi&egrave;ce"|"R&eacute;aliser en suivant un protocole donn&eacute;.|"2"|"6"|"1"
""|"Formes permises par les proc&eacute;d&eacute;s de fabrication (usinage, d&eacute;coupage, formage)./ Mise en position et maintien d&apos;une pi&egrave;ce"|"Utiliser rationnellement mat&eacute;riels et outillages dans le respect des r&egrave;gles de s&eacute;curit&eacute;."|"2"|"6"|"1"
""|"Proc&eacute;d&eacute;s d&apos;assemblage :soudage, rivetage, collage, embo&icirc;tement, vissage."|"R&eacute;aliser un assemblage ou tout ou partie d&apos;un objet technique en suivant une proc&eacute;dure formalis&eacute;e."|"2"|"6"|"1"
""|"Proc&eacute;d&eacute;s d&apos;assemblage :soudage, rivetage, collage, embo&icirc;tement, vissage."|"Effectuer un geste technique en respectant les consignes."|"2"|"6"|"1"
""|"Proc&eacute;d&eacute;s d&apos;assemblage :soudage, rivetage, collage, embo&icirc;tement, vissage."|"Tester le fonctionnement."|"2"|"6"|"1"
""|"Mesure dimensionnelle (diam&egrave;tre, distance), unit&eacute;."|"Mesurer et contr&ocirc;ler &agrave; l&apos;aide d&apos;instruments de mesure, d&apos;un gabarit."|"2"|"6"|"1"
""|"Mesure dimensionnelle (diam&egrave;tre, distance), unit&eacute;."|"Confronter le r&eacute;sultat &agrave; celui attendu."|"2"|"6"|"1"
""|"Fonction."|"Identifier des fonctions assur&eacute;es par un objet technique."|"1"|"1"|"2"
""|"Solutions techniques."|"Identifier la solution technique retenue pour r&eacute;aliser une fonction de service."|"1"|"1"|"2"
""|"Solutions techniques."|"Comparer, sur diff&eacute;rents objets techniques, les solutions techniques retenues pour r&eacute;pondre &agrave; une m&ecirc;me fonction de service."|"1"|"1"|"2"
""|"Solutions techniques."|"Modifier tout ou partie d&apos;une structure ou d&apos;un assemblage pour satisfaire une fonction de service donn&eacute;e."|"2"|"1"|"2"
""|"Solutions techniques."|"R&eacute;aliser cette modification &agrave; l&apos;aide d&apos;un logiciel. "|"3"|"1"|"2"
""|"Contraintes (fonctionnement,dur&eacute;e de vie,s&eacute;curit&eacute;,esth&eacute;tique et ergonomie,d&eacute;veloppement durable)."|"Mettre en relation les contraintes &agrave; respecter et les solutions techniques retenues."|"1"|"1"|"2"
""|"Contraintes (fonctionnement,dur&eacute;e de vie,s&eacute;curit&eacute;,esth&eacute;tique et ergonomie,d&eacute;veloppement durable)."|"Relier les choix esth&eacute;tiques au style artistique en vigueur au moment de la cr&eacute;ation."|"1"|"1"|"2"
""|"Contexte social et &eacute;conomique."|"Identifier, de mani&egrave;re qualitative,l&apos;influence d&apos;un contexte social et &eacute;conomique sur la conception et la commercialisation d&apos;un objet technique simple."|"1"|"1"|"2"
